,Item
1237,DISP RAZ CA6000 10ML 5% Crushed Berries
1238,DISP RAZ CA6000 10ML 5% Peach Pear
1239,DISP RAZ CA6000 10ML 5% Strawberry Kiwi
1240,DISP SnowWolf Compak 7500puff 17ML 5% Blue Cotton Candy
1241,DISP SnowWolf Compak 7500puff 17ML 5% Blue Razz Ice
1242,DISP SnowWolf Compak 7500puff 17ML 5% Cool Mint
1243,DISP SnowWolf Compak 7500puff 17ML 5% Double Apple
1244,DISP SnowWolf Compak 7500puff 17ML 5% Grape Ice
1245,DISP SnowWolf Compak 7500puff 17ML 5% Lush Mango
1246,DISP SnowWolf Compak 7500puff 17ML 5% Pacific Cooler
1247,DISP SnowWolf Compak 7500puff 17ML 5% Strawberry Banana Ice
1248,DISP SnowWolf Compak 7500puff 17ML 5% Strawberry Kiwi
1249,DISP SnowWolf Compak 7500puff 17ML 5% Strawberry Melon Ice
1250,DISP SnowWolf Compak 7500puff 17ML 5% Triple Berry Ice
1251,DISP SnowWolf Compak 7500puff 17ML 5% Watermelon Ice
1252,DISP SnowWolf Ease 8000puff 18ML Disposable 5% Misc Flavors
1253,DISP So Soul Bar Y6000 14ML 6000 Puffs 650mAh - Banana Milk Shake
1254,DISP So Soul Bar Y6000 14ML 6000 Puffs 650mAh - Pink Strawberry Cream
1255,DISP So Soul Bar Y6000 14ML 6000 Puffs 650mAh - Sakura Apple Grape
1256,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Blue Razz Ice
1257,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Mango Peach Ice
1258,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Menthol
1259,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Pear Strawberry Raspberry Ice
1260,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Strawberry Orange Mint
1261,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Strawberry Watermelon Bubble Gum
1262,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Watermelon Ice
1263,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - White Gummy Bear
1264,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Blueberry Lemon Ice
1265,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Blueberry Raspberry
1266,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Cool Mint
1267,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Energy Drinks
1268,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Strawberry Mango
1269,DISP Suorin Air Bar MAX 6.5ml 2000puffs Aloe Blackcurrant
1270,DISP Suorin Air Bar MAX 6.5ml 2000puffs ALPS
1271,DISP Suorin Air Bar MAX 6.5ml 2000puffs Apple Shake
1272,DISP Suorin Air Bar MAX 6.5ml 2000puffs Banana Shake
1273,DISP Suorin Air Bar MAX 6.5ml 2000puffs Berries Shake
1274,DISP Suorin Air Bar MAX 6.5ml 2000puffs Blueberry Blackcurrant
1275,DISP Suorin Air Bar MAX 6.5ml 2000puffs Blueberry Lemon Ice
1276,DISP Suorin Air Bar MAX 6.5ml 2000puffs Blueberry Raspberry
1277,DISP Suorin Air Bar MAX 6.5ml 2000puffs Cool Mint
1278,DISP Suorin Air Bar MAX 6.5ml 2000puffs Cranberry Grape
1279,DISP Suorin Air Bar MAX 6.5ml 2000puffs Energy Drink Ice
1280,DISP Suorin Air Bar MAX 6.5ml 2000puffs Guava Ice
1281,DISP Suorin Air Bar MAX 6.5ml 2000puffs Guava Shake
1282,DISP Suorin Air Bar MAX 6.5ml 2000puffs Holly
1283,DISP Suorin Air Bar MAX 6.5ml 2000puffs Kiwi Berry Ice
1284,DISP Suorin Air Bar MAX 6.5ml 2000puffs Lemon Shake
1285,DISP Suorin Air Bar MAX 6.5ml 2000puffs Melon Shake
1286,DISP Suorin Air Bar MAX 6.5ml 2000puffs Peach Mango
1287,DISP Suorin Air Bar MAX 6.5ml 2000puffs Pudding
1288,DISP Suorin Air Bar MAX 6.5ml 2000puffs Red Mojito
1289,DISP Suorin Air Bar MAX 6.5ml 2000puffs Sakura Grape
1290,DISP Suorin Air Bar MAX 6.5ml 2000puffs Shake Shake
1291,DISP Suorin Air Bar MAX 6.5ml 2000puffs Strawberry Mango
1292,DISP Suorin Air Bar MAX 6.5ml 2000puffs Watermelon Ice
1293,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Apple Gummies
1294,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Cool Mint
1295,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Banana
1296,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Blueberry
1297,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Grape
1298,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Mango
1299,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Peach
1300,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Frozen Strawberry
1301,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Melon Head
1302,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Mint Berry
1303,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Passion Pom
1304,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Peach Watermelon
1305,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Pineapple Mango
1306,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Raspberry Watermelon
1307,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Strawberry Banana
1308,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Strawberry Watermelon
1309,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Watermelon
1310,DISP Yaya Go Tobacco Free Nicotine 1600 Puffs By TVL Banana Bread
1311,DISP Yogi Bars 5% 8000 - Apple Cinnamon
1312,DISP Yogi Bars 5% 8000 - Blueberry
1313,DISP Yogi Bars 5% 8000 - Java
1314,DISP Yogi Bars 5% 8000 - Original
1315,DISP Yogi Bars 5% 8000 - Peanut Butter
1316,DISP Yogi Bars 5% 8000 - Strawberry
1317,DISP Yogi Bars 5% 8000 - Vanilla Tobacco
6048,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Watermelon Bubble Gum
6049,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Grape Razz
6058,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Tobacco
6059,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Coconut
6060,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Cherry Berry
6061,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Orange Soda
6062,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Pineapple Kiwiberry
6090,DISP RAZ CA6000 10ML 5% Tobacco
6091,DISP RAZ CA6000 10ML 5% Cactus Jack
6092,DISP RAZ CA6000 10ML 5% Lemon Lime
6100,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Blue Razz
6101,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Clear
6102,DISP Lost Mary MO5000 Disposable 5% Blue Razz Ice
6103,DISP Lost Mary MO5000 Disposable 5% Tropical Fruit 
6104,DISP Lost Mary MO5000 Disposable 5% Watermelon Ice
6105,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Apple Cotton Candy
6106,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Blueberry Pie
6107,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Dragon Fruit Berry
6108,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Peach Mango Watermelon
6109,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Pineapple Lemonade
6110,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Raspberry Ice Tea
6111,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Triple Berries
6112,Elf VPR 7000 Ultra Peach Ice
6113,Elf VPR 7000 Ultra Strawberry Watermelon
6114,Elf VPR 7000 Ultra Watermelon Bubblegum
6125,DISP Metaku Spongie 12ML 7500 Puffs - Blue Razz Ice
6126,DISP Metaku Spongie 12ML 7500 Puffs - Cherry Lemon
6127,DISP Metaku Spongie 12ML 7500 Puffs - Cherry Strawberry Raspberry
6128,DISP Metaku Spongie 12ML 7500 Puffs - Green Apple Ice
6129,DISP Metaku Spongie 12ML 7500 Puffs - Gum Mint
6130,DISP Metaku Spongie 12ML 7500 Puffs - Meta Grape
6131,DISP Metaku Spongie 12ML 7500 Puffs - Strawberry Kiwi
6132,DISP Metaku Spongie 12ML 7500 Puffs - Strawberry Peach Mint
6133,DISP Metaku Spongie 12ML 7500 Puffs - Strawberry Watermelon Bubblegum
6134,DISP Metaku Spongie 12ML 7500 Puffs - Watermelon Ice
6135,DISP EB Design BC5000 13ML 5000 Puffs 650mAh 5% Strawlemon Ice
6136,DISP RAZ CA6000 10ML 5% Fuji Blue Raz
6155,DISP Lost Mary OS5000 Disposable 5% Misc.
