,Item,Profile
271,DISP Suorin Air Bar MAX 6.5ml 2000puffs Berries Shake,"Berries, Shake"
272,DISP Monster Bars 7ML 3% 3500  Puffs 1000mAh Mint,"Minty, Rich, Sweet"
273,DISP Hyde I.D. RECHARGE 4500 Puffs Strawberry Pina Colada,"Strawberry, Pineapple, Coconut"
274,DISP Monster Mini 3ML 800 Puffs 5% Watermelon Ice,"Watermelon, Ice"
275,DISP Monster Mini 3ML 800 Puffs 5% Mango Ice,"Mango, Ice"
276,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Menthol,Menthol
277,DISP Cali Boxx 10ML 4000 3% Puffs - Blue Raspberry Kiwi Lemonade,"Blueberry, Kiwi, Lemonade"
278,DISP Metaku Spongie 12ML 7500 Puffs - Meta Grape,"Grape, Meta"
279,DISP Metaku Spongie 12ML 7500 Puffs - Green Apple Ice,"Green, Apple, Ice"
280,DISP Hyde Rebel Recharge 4500puffs Spearmint,Spearmint
281,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Peachy 30mg,"Peachy, Citrusy"
282,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Strawberries And Cream,"Strawberries, Cream"
283,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Cool Mint,Cool
284,DISP Monster Mini 3ML 800 Puffs 5% Cola Gummy,"Cola, Gummy"
285,DISP Metaku Spongie 12ML 7500 Puffs - Blue Razz Ice,"Blueberry, Raspberry"
286,DISP Lost Mary MO5000 Disposable 5% Grape Jelly,"Grape, Jelly"
287,DISP Suorin Air Bar MAX 6.5ml 2000puffs Guava Ice,Guava
288,DISP SnowWolf Compak 7500puff 17ML 5% Lush Mango,"Lush, Mango"
289,DISP ML Monster Bars MAX 6000 Melon Colada Ice,"Tropical, Sweet, Fruity"
290,DISP Hyde Curve Max 8ml 2500 Puffs Sour Apple Ice,"Apple, Ice"
291,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Strawberry Banana,"Strawberry, Banana"
292,DISP ML Monster Bars MAX 6000 Mangerine Guava Ice,"Orange, Berry, Sweet"
293,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Bananas & Cream,Banana
294,DISP Suorin Air Bar MAX 6.5ml 2000puffs Holly,Holly
295,DISP Fruitia 5ml 5% 1500 Puff 650mAh Pineapple Citrus Twist,"Pineapple, Citrus"
296,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Kiwi Dragon Berry ,"Kiwi, Berry"
297,DISP Metaku Spongie 12ML 7500 Puffs - Watermelon Ice,Watermelon
298,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Tropical 30mg,"Tropical, Fruity"
299,DISP SnowWolf Compak 7500puff 17ML 5% Watermelon Ice,Watermelon
300,DISP Pachamama 8ML 3000 Puffs 1200mAh Lemon Meringue,"Lemon, Meringue"
301,DISP Lost Mary OS5000 Disposable 5% Blue Razz Ice,"Blue, Raspberry"
302,DISP Hyde Curve S 2ml 400-600puffs Sparkling Orange,"Orange, Sparkling"
303,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Watermelon Lime Freeze,"Watermelon, Lime, Freeze"
304,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Melon Head,"Melon, Citrus"
305,DISP Monster Bars 7ML 3500 Puffs 1000mAh 5% Strawberry Kiwi Pomegranate,"Strawberry, Kiwi, Pomegranate"
306,DISP Suorin Air Bar MAX 6.5ml 2000puffs Aloe Blackcurrant,"Aloe, Blackcurrant"
307,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mint,"Refreshing, Invigorating, Minty"
308,DISP Fruitia 5ml 5% 1500 Puff 650mAh Mango Lychee Ice,"Mango, Lychee"
309,DISP Yogi Bars 5% 8000 - Blueberry,"Blueberry, Berry"
310,DISP Hyde Rebel Recharge 4500puffs Peach Mango Watermelon,"Peach, Mango, Watermelon"
311,DISP Hyde MAG Recharge 4500 Puffs Peach,"Peach, fruit"
312,DISP Lost Mary OS5000 Disposable 5% Grape,Grape
313,DISP Yogi Bars 5% 8000 - Strawberry,Strawberry
314,DISP Lost Mary MO5000 Disposable 5% Yummy,Yummy
315,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Mint Berry,"Mint, Berry"
316,DISP Suorin Air Bar MAX 6.5ml 2000puffs Peach Mango,"Peach, Mango"
317,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Loops,"Fruity, sweet, smooth"
318,DISP Fruitia 5ml 5% 1500 Puff 650mAh Watermelon Peach Pear,"Watermelon, Peach, Pear"
319,DISP SnowWolf Compak 7500puff 17ML 5% Blue Cotton Candy,Blueberry
320,DISP ML Monster Bars MAX 6000 Strawberry Lime,"Strawberry, Lime"
321,DISP Jus Bar 5% 8ml 3000 puffs Strawberry Milkshake,"Strawberry, Milkshake"
322,DISP Lost Mary OS5000 Disposable 5% Black Mint,Mint
323,DISP Monster Bars 7ML 3500 Puffs 1000mAh Strawberry Banana Ice,"Strawberry, Banana, Ice"
324,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Raspberry Watermelon,"Raspberry, Watermelon"
325,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Clear,"Clean, Crisp"
326,DISP EB Design BC5000 13ML 5000 Puffs 650mAh 5% Crazi Bery,"Crazy, Bery"
327,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Banana Ice 30mg,"Banana, Ice"
328,DISP Suorin Air Bar MAX 6.5ml 2000puffs Sakura Grape,"Sakura, Grape"
329,DISP Hyde Curve S 2ml 400-600puffs Honeydew Punch,"Honey, Punch"
330,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Miami Mint,"Miami Mint, menthol, smooth"
331,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Lush Ice,Ice
332,DISP Cali Boxx 10ML 4000 5% Puffs - Blue Raspberry Kiwi Lemonade,"Blue Raspberry, Kiwi, Lemonade"
333,DISP Hyde MAG Recharge 4500 Puffs Blue Razz Ice,"Blueberry, Raspberry"
334,DISP Nicless Next 0% NICOTINE FREE - Cherry Lemonade,"Cherry, Lemonade"
335,DISP SnowWolf Compak 7500puff 17ML 5% Cool Mint,"Cool, Mint"
336,DISP SnowWolf Compak 7500puff 17ML 5% Grape Ice,"Grape, Ice"
337,DISP Lost Mary OS5000 Disposable 5% Cranberry Soda,"Cranberry, fruity, sweet"
338,DISP Suorin Air Bar MAX 6.5ml 2000puffs ALPS,"Fruity, Sweet, Bold"
339,DISP Lost Mary OS5000 Disposable 5% Spearmint,Spearmint
340,DISP RAZ CA6000 10ML 5% Alaskan Mint,Mint
341,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Cool Mint,Mint
342,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Honeydew Pineapple Orange,"Honeydew, Orange"
343,DISP Monster Bars 7ML 3500  Puffs 1000mAh Strawberry Custard,"Strawberry, Custard"
344,Elf VPR 7000 Ultra Strawberry Watermelon,"Strawberry, Watermelon"
345,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Blue Razz Honeydew,"Blue, Razz, Honeydew"
346,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Pineapple Grapefruit,"Pineapple, Grapefruit"
347,DISP Fruitia 5ml 5% 1500 Puff 650mAh Strawberry Guava Ice,"Strawberry, Guava, Ice"
348,DISP Hyde Rebel Recharge 4500puffs Strawberries & Cream,"Strawberries, Cream"
349,DISP Monster Bars 7ML 3500 Puffs 1000mAh Pink Lemonade,"Pink, Lemonade"
350,DISP SnowWolf Compak 7500puff 17ML 5% Double Apple,"Apple, Pear"
351,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Watermelon Lime ,Watermelon
352,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Passion Fruit Pineapple,"Passion fruit, pineapple"
353,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mixed Berry,"Berry, Tropical"
354,DISP Monster Mini 3ML 800 Puffs 5% Strawberry Banana Apple,"Strawberry, Banana, Apple"
355,DISP Monster Bars 7ML 3500 Puffs 1000mAh Blueberry Lemonade,"Blueberry, Lemonade"
356,DISP SnowWolf Ease 8000puff 18ML Disposable 5% Misc Flavors,Misc Flavors
357,DISP Lost Mary MO5000 Disposable 5% Kiwi Passion Fruit Guava,"Kiwi, Passionfruit, Guava"
358,DISP Hyde Rebel Recharge 4500puffs Blue Razz Ice,"Blueberry, Raspberry, Mint"
359,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Watermelon Bubblegum,"Unique, Refreshing, Fruity"
360,DISP Lost Mary MO5000 Disposable 5% Watermelon Cherry,"Watermelon, Cherry"
361,DISP Monster Bars 7ML 3500  Puffs 1000mAh Smooth Tobacco,"Monster, Bars, Smooth, Tobacco"
362,DISP Pachamama 8ML 3000 Puffs 1200mAh Clear,"Crisp, Earthy, Fruity"
363,DISP SO SOUL SLIMZ BC 5000 PRO 11ML 5000 Puffs - Watermelon Ice,Watermelon
364,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Minty O's,"Minty, O's"
365,DISP Jus Bar 5% 8ml 3000 puffs Key Lime Cookie,"Lime, cookie"
366,DISP Hyde Curve S 2ml 400-600puffs Lush Ice,"Cool, crisp, sweet, fruity"
367,DISP Esco Bars H20 6ML 2500 Puffs 5% 1100mAh Blueberry,"Berry, Citrus"
368,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Lemon Crumble,"Lemon, Crumble"
369,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Rainbow Cloudz,"Cloud, Sugar, Fruity"
370,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Blueberry Mint,"Blueberry, Mint"
371,DISP Hyde MAG Recharge 4500 Puffs Strawberry Ice Cream,"Strawberry, Ice Cream"
372,DISP Pachamama 8ML 3000 Puffs 1200mAh Mango Ice,"Mango, Ice"
373,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Cantaloupe Honeydew,"Watermelon, Cantaloupe, H"
374,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Pineapple Kiwiberry,"Pineapple, Kiwiberry"
375,DISP Juice Head Bars 8ML 5000 Puffs 650mAh 5% Peach Pear Freeze,"Peach, Pear"
376,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Pineapple Peach Mango,"Pineapple, Peach, Mango"
377,DISP RAZ CA6000 10ML 5% Crushed Berries,Berries
378,DISP So Soul Bar Y6000 14ML 6000 Puffs 650mAh - Banana Milk Shake,"Banana, Milk Shake"
379,DISP Monster Mini 3ML 800 Puffs 5% Mint,"Mint, 5%"
380,DISP Lost Mary MO5000 Disposable 5% Blue Razz Ice,"Blue, Raspberry"
381,DISP Lost Mary MO5000 Disposable 5% Black Mint,Mint
382,DISP Monster Bars 7ML 3500  Puffs 1000mAh PB & Banana,"Monster, Banana, PB"
383,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Blue Razz,"Blueberry, Berry, Citrus"
384,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Coconut,Coconut
385,DISP Monster Bars 7ML 3500  Puffs 1000mAh Mango Peach Guava ICE,"Mango, Peach, Guava"
386,DISP Suorin Air Bar MAX 6.5ml 2000puffs Energy Drink Ice,"Energy, Fruity"
387,DISP Hyde Rebel Recharge 4500puffs Lush Ice,"Ice, Mint"
388,DISP Monster Bars 7ML 3500 Puffs 1000mAh Watermelon Lemonade,"Watermelon, Lemonade"
389,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Grape Razz,"Grape, Razzberry"
390,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Blue Razz Lemonade,"Blueberry, Lemon, Fruity"
391,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Apple Gummies,Apple
392,DISP Fruitia 5ml 5% 1500 Puff 650mAh Apple Kiwi Crush,"Kiwi, Apple, Kiwi, Crush"
393,DISP Hyde Curve S 2ml 400-600puffs Pink Lemonade,"Pink, Lemonade"
394,DISP Hyde MAG Recharge 4500 Puffs Lemon Ice Cream,"Lemon, Citrus"
395,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Summer Peach Ice,"Peach, Summer, Ice"
396,DISP Suorin Air Bar MAX 6.5ml 2000puffs Red Mojito,"Mint, Lime, Berry"
397,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Berry Mix,"Berry, Mix"
398,DISP Monster Bars The Milk 7ML 3500 1000mAh Puffs 5% Cinnamon ,"Cinnamon, Milk"
399,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Peach Mango Watermelon 30mg,"Peach, Mango, Watermelon"
400,DISP Monster Mini 3ML 800 Puffs 5% Pink Lemonade,"Lemonade, Pink, Fruity"
401,DISP RAZ CA6000 10ML 5% Fuji Blue Raz,Fuji
402,DISP Lost Mary OS5000 Disposable 5% Triple Berry Duo Ice,"Berry, fruity"
403,DISP Lost Mary OS5000 Disposable 5% Cherry Cola,"Cherry, Cola"
404,DISP Lost Mary MO5000 Disposable 5% Lemon Sparkling Wine,Lemon
405,DISP KROS 3 Unlimited 3% 14ML 6000 Puffs - Tropical Rainbow Twist,"Tropical, fruity, sweet"
406,DISP Suorin Air Bar MAX 6.5ml 2000puffs Watermelon Ice,"Watermelon, Ice"
407,DISP Monster Bars 7ML 3500  Puffs 1000mAh Blueberry Raspberry Lemon,"Blueberry, Raspberry, Lemon"
408,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Grape Energy,"Grape, Mint, Fruity"
409,DISP Hyde MAG Recharge 4500 Puffs Pineapple Banana Cantaloupe,"Pineapple, Banana, Cantaloupe"
410,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Strawberry Banana,"Strawberry, banana"
411,DISP Suorin Air Bar MAX 6.5ml 2000puffs Apple Shake,"Apple, Shake"
412,DISP Lost Mary OS5000 Disposable 5% Mary Dream,"Dreamy, fruity"
413,DISP Monster Bars 7ML 3500  Puffs 1000mAh Blueberry Jam,"Blueberry, Jam"
414,DISP Monster Bars 7ML 3500  Puffs 1000mAh Banana ICE,"Banana, ICE"
415,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Lush Ice,Ice
416,DISP Lost Mary OS5000 Disposable 5% Pineapple Mango,"Pineapple, Mango"
417,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Watermelon,Watery
418,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Triple Berry Ice,"Berry, Sweet"
419,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Passion Pom,"Pom, Passion"
420,DISP Lost Mary OS5000 Disposable 5% Cherry Banana Duo Ice,"Cherry, Banana"
421,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Rainbow Skittle,Rainbow
422,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Kiwi Strawberry,"Kiwi, Strawberry"
423,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Nana Cobbler,Nana
424,DISP Fume Vapes Ultra 8ML 2500 Puffs 1000mAh Lush Ice,"Ice, Lush"
425,DISP Lost Mary OS5000 Disposable 5% Mad Blue,"Blueberry, Citrus"
426,DISP Nicless Stick + Disposable 0% NICOTINE FREE - Peach Gummy Bear,"Peach, Gummy, Bear"
427,DISP Hyde Curve S 2ml 400-600puffs Pineapple Ice,"Pineapple, Ice"
428,DISP RAZ CA6000 10ML 5% Strawberry Kiwi,"Strawberry, Kiwi"
429,DISP Tyson 2.0 Heavy Weight 15ML 7000 Puffs - Pineapple Mango,"Pineapple, Mango"
430,DISP Hyde Rebel Recharge 4500puffs Power,"Energy, Rich, Fruity"
431,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Jolly Candy Ice,"Watermelon, Jolly, Candy, Ice"
432,DISP KROS 3 Unlimited 5% 14ML 6000 Puffs - Tropical Rainbow Twist,"Tropical, Fruity, Sweet"
433,DISP Hyde Curve Max 8ml 2500 Puffs Strawberries & Cream,"Strawberries, Cream"
434,DISP Hyde Curve S 2ml 400-600puffs Peach Mango Watermelon,"Peach, Mango, Watermelon"
435,DISP Monster Mini 3ML 800 Puffs 5% Cotton Candy Ice,Cotton Candy
436,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Cotton Candy,Cotton Candy
437,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Blue Razzleberry Pomegranate ,"Blueberry, Pomegranate"
438,DISP Flum Float 8ML 3000 Puffs 850mAh 5.0% Tropical Delight,"Tropical, Delight"
439,DISP Jus Bar 5% 8ml 3000 puffs Blackberry Jam,Berry
440,DISP Hyde Edge RAVE Recharge 10ml 3% 4000 Puffs Raspberry Watermelon 30mg,"Raspberry, Watermelon"
441,DISP Hyde Rebel Recharge 4500puffs Strawberry Banana,"Strawberry, Banana"
442,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Mango,"Strawberry, Mango"
443,DISP ML Monster Bars MAX 6000 Banana Ice,"Banana, Ice"
444,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Raspberry Ice Tea,"Raspberry, Tea"
445,DISP Metaku Spongie 12ML 7500 Puffs - Strawberry Kiwi,"Strawberry, Kiwi"
446,DISP Hyde Rebel Recharge 4500puffs Tropical,"Tropical, Fruity"
447,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Blue Razz Cloudz,"Blueberry, Raspberry"
448,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Watermelon Brzz Ice,"Watermelon, Brzz, Ice"
449,DISP Suorin Air Bar MAX 6.5ml 2000puffs Lemon Shake,"Lemon, Shake"
450,DISP Suorin Air Bar MAX 6.5ml 2000puffs Shake Shake,"Berry, Citrus, Sweet"
451,DISP Suorin Air Bar MAX 6.5ml 2000puffs Strawberry Mango,"Sweet, Fruity"
452,DISP ML Monster Bars MAX 6000 Mixed Berry Ice,"Berry, Sweet"
453,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Dragon Fruit Berry,"Berry, fruit"
454,DISP Lost Mary MO5000 Disposable 5% Black Strawnana,"Strawnana, Black"
455,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Gumi,"Berry, Citrus"
456,DISP Lost Mary OS5000 Disposable 5% Strawberry Ice,"Strawberry, Ice"
457,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Double Apple Ice,"Apple, Ice"
458,DISP Monster Bars The Milk 7ML 3500 1000mAh Puffs 5% Berry Crunch,"Berry, Crunch"
459,DISP Hyde Curve Max 8ml 2500 Puffs Pineapple Ice,"Pineapple, Ice"
460,DISP Hyde Curve S 2ml 400-600puffs Strawberry Banana,"Strawberry, Banana"
461,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Fuji Apple Ice,"Fuji, Apple, Ice"
462,DISP Cali Boxx 10ML 4000 3% Puffs - Frozen Blackberry,"Berry, sweet, cold"
463,DISP Hyde Slim S 1.3ML 300 Puffs 280mAh 5% Strawberry Banana,"Strawberry, Banana"
464,DISP EB Design BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Pear Orange Ice,"Strawberry, Orange, Ice"
465,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Sakura Grape,"Grape, Sakura"
466,DISP Fruitia 5ml 5% 1500 Puff 650mAh Smooth Banana Ice,Banana
467,DISP Elf Bar BC5000 13ML 5000 Puffs 650mAh 5% Strawberry Cream,"Strawberry, Cream"
468,DISP Esco Bars 6ML 2500 Puffs 5% 1100mAh Caramel,"Caramel, Vanilla"
469,DISP Yogi Bars 5% 8000 - Java,Java
470,DISP Hyde Retro RAVE Recharge 13ml 5% 5000 Puffs Cola Ice,"Cola, Ice"
471,DISP Suorin Air Bar MAX 6.5ml 2000puffs 0% Strawberry Mango,"Strawberry, Mango"
472,DISP Lost Vape Orion Bar 5% 18ML 7500 Puffs - Misc.,Flavors
473,DISP Hyde I.D. RECHARGE 4500 Puffs Strawberry Blackberry,"Strawberry, Blackberry"
